Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
1,دربند خ گلابدره خ زیردست,73,4,1,20,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,78082000,5700000000
2,نامجو نرسیده به خ قجاوند,57,3,1,5,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,68421000,3900000000
3,اتوبان بابایی بعد از پل لشگرك,93,1,2,3,1,1,1,1,12,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سيمان و شيشه,98920000,9200000000
4,تهران پارس شهرك شاهد,74,2,2,25,0,1,0,0,3,شخصي,"کولر,گاز",سنگ,70270000,5200000000
5,بلوارمرزداران خ آرش,150,2,3,0,1,1,1,1,5,شخصي,"آسانسور,پکیج",سنگ,128266000,19240000000
6,نظام آباد خ مدنی جنوبی خ بخشی فرد,100,5,2,2,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,60000000,6000000000
7,نظام آباد خ مدنی جنوبی,133,3,3,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,60000000,7980000000
8,دبستان نرسیده به آریان محمودی,75,1,2,25,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,75000000,5625000000
9,پیروزی خ پاسدارگمنام خ لرستانی,95,1,2,17,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,52640000,5000000000
10,گیشا بالاتر از خ 29,158,5,3,3,1,1,1,1,5,شخصي,"فن کوئر,آسانسور,حیاط,گاز",سنگ,140506000,22200000000
11,جمالزاده شمالی بالاتر از ك اخوان,145,4,3,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,58620000,8500000000
12,ستارخان بعد از خ نیایش,47,2,1,25,0,1,0,1,4,شخصي,"شوفاژ,پکیج,گاز",سنگ,106382000,5000000000
13,جنت آباد مركزی نرسیده به خ دانش,135,3,3,10,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,122222000,16500000000
14,ملاصدرا شیرازجنوبی,120,5,2,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,130000000,15600000000
15,تهران پارس خ 156 غربی,150,4,3,3,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,110000000,16500000000
16,سعادت آباد چهارراه سرو خ بخشایش,126,2,3,24,0,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,119047000,15000000000
17,جلفا ك درنا,105,3,2,15,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,135000000,14175000000
18,فاطمی نرسیده به چهارراه جمالزاده,119,2,2,0,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,130000000,15470000000
19,تهران پارس بلوار پروین خ 212 شرقی,55,4,1,0,0,1,0,0,4,قولنامه اي,"کولر,گاز",سنگ,27270000,1500000000
20,طرشت شمالی بالاتر از بانك صادرات,102,1,2,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج",ترکیبی,100000000,10200000000
21,پیروزی بلوارابوذر,87,1,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,100000000,8700000000
22,طرشت خ لطفعلی خانی,88,1,2,5,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,90000000,7920000000
23,تهران پارس خ استخر,67,5,1,5,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,89550000,6000000000
24,بلوار مرزداران خ گلستان,51,0,1,21,0,0,0,0,5,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,117647000,6000000000
25,سعادت آباد بلوار پاكنژاد,90,1,2,4,1,1,1,1,6,دردست اقدام,"کولر,آسانسور,پکیج,گاز",سنگ,150000000,13500000000
26,پیروزی خ پرستار,143,4,3,0,1,0,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,85000000,12155000000
27,فاطمی میدان گلها,100,4,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,75000000,7500000000
28,پیروزی بلوارابوذر,87,1,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,8700000000
29,تهران پارس خ استخر خ فراهانی,95,8,2,2,1,1,1,1,8,تعاوني,"کولر,آسانسور,گاز",سيمان,89470000,8500000000
30,قیطریه بالاتر از بلوار كاوه,86,3,2,5,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,160000000,13760000000
32,قیطریه سهیل,155,2,3,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سيمان,180000000,27900000000
33,توانیر خ نظامی گنجوی,105,1,2,5,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,123809000,13000000000
34,اختیاریه جنوبی نرسیده به خ محسنیان,114,1,2,15,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,114035000,13000000000
35,حكیمیه بهار,65,8,1,12,0,1,1,0,9,قولنامه اي,"شوفاژ,کولر,آسانسور,گاز",سنگ,58460000,3800000000
36,تهرانپارس خ اتحاد,127,3,3,2,1,1,1,0,7,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,51180000,6500000000
37,دولت نرسیده به خ عین آبادی,155,3,3,2,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,155000000,24025000000
38,نارمك میدان 53,70,1,2,6,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,104285000,7300000000
39,جلال آل احمد خ پروانه,108,4,2,10,1,0,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,109259000,11800000000
40,بلوار كشاورز خ طوس,48,-1,1,22,0,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر,62500000,3000000000
41,امیرآباد كارگر شمالی,85,4,2,21,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,94117000,8000000000
42,سعادت آباد میدان كتاب بلواركوهستان,127,2,3,20,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,125984000,16000000000
43,تهرانپارس خ وفادار شرقی خ الله اكبر,78,3,2,5,0,0,0,0,4,قولنامه اي,"کولر,گاز",سنگ,38460000,3000000000
44,سعادت آباد شهرك مخابرات خ پیوند,120,1,2,20,1,1,0,0,2,شخصي,"شوفاژ,کولر,حیاط,گاز",سنگ,26923000,28000000000
45,سعادت آباد میدان كتاب خ احسان جنوبی,81,2,1,26,0,0,0,1,5,شخصي,"شوفاژ,کولر,گاز",سنگ,111111000,9000000000
46,نارمك میدان 60,73,3,2,30,1,0,0,0,3,شخصي,"شوفاژ,کولر",سنگ,106849000,7800000000
47,شهرك غرب بلوار پاكنژاد,120,4,2,0,1,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,145000000,17400000000
48,دبستان نرسیده به ك بیات,95,2,2,30,0,1,0,0,3,شخصي,"کولر,پکیج,جکوزی,گاز",سنگ,91578000,8700000000
49,گاندی جنوبی نرسیده به خ سوم,81,3,1,2,1,0,1,1,5,شخصي,آسانسور,سنگ,160000000,12960000000
50,شهیدعراقی خ كشوری,123,4,2,21,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,89430000,11000000000
51,سعادت آباد نرسیده به خ یكم,215,1,3,9,1,1,1,1,6,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,232558000,50000000000
52,شهرك غرب بلوار فرحزادی خ طاهرخانی,75,2,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر,120000000,9000000000
53,تجریش خ فناخسرو,320,2,5,15,1,1,1,1,10,شخصي,"کولر,فن کوئر,آسانسور,چیلر,گاز",سنگ,190000000,60800000000
54,تهرانپارس فلكه اول,100,2,2,30,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,10000000000
55,یوسف آباد روبروی پارك شفق,180,2,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",ترکیبی,165000000,29700000000
56,دروس خ هدایت,275,5,4,14,1,1,1,0,8,شخصي,"کولر,فن کوئر,آسانسور,چیلر,پکیج,جکوزی,گاز",سنگ,249000000,68475000000
57,نارمك خ قنبریان,53,4,1,18,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,79245000,4200000000
58,فرمانیه خ سعیدی,211,6,3,5,1,1,1,1,10,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,210000000,44310000000
59,بلواركشاورز زرتشت غربی,171,6,3,30,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,95000000,16245000000
61,تهرانپارس 220شرقی,100,2,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,90000000,9000000000
62,وحیدیه روبروی پارك تسلیحات,52,4,1,0,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,86538000,4500000000
63,اشرفی اصفهانی خ نفت,114,2,2,16,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,124561000,14200000000
64,جنت آباد مركزی خ رجب صلاحی,119,1,2,25,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,105042000,12500000000
65,مجیدیه شمالی میدان ملت,100,0,2,19,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,10000000000
66,نارمك میدان 41,90,3,2,15,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,9000000000
67,شهر آرا خ منصوری كیا بالاتر از كابلی ك 17 پ 4,125,7,3,0,1,1,1,1,7,شخصي,"آسانسور,حیاط,زیر زمین,مستخدم,گاز",تراورتن,140000000,17500000000
68,جنت آباد مركزی خ مخبری,132,2,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,130000000,17160000000
69,اشرفی اصفهانی باغ فیض خ 22 بهمن,118,1,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,120000000,14160000000
70,جنت آباد جنوبی خ لاله غربی,133,1,2,0,1,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,130000000,17290000000
71,خ دماوند خ اشراقی,90,3,2,16,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,70000000,6300000000
72,پاسداران سه راه ضرابخانه خ سروستان,86,4,2,22,0,1,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",آجر,87209000,7500000000
73,تهرانپارس فلكه اول خ 152 غربی,63,1,1,25,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور",سنگ,100000000,6300000000
74,تهران پارس خ 210 شرقی,67,1,2,18,1,1,0,1,4,شخصي,"شوفاژ,کولر",گرانيت,98507000,6600000000
75,تهران پارس 174/1 غربی,108,5,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,138888000,15000000000
76,شریعتی نرسیده به تجریش,82,2,2,0,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,145000000,11890000000
77,دلاوران خ تكاوران شمالی,67,1,1,22,1,1,0,0,3,شخصي,"کولر,گاز",سنگ,104470000,7000000000
78,دلاوران آزادگان,72,2,2,17,0,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,69440000,5000000000
79,اشرفی اصفهانی شهرك نفت,114,2,2,15,0,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,94736000,10800000000
80,جنت آباد ایرانپارس خ جوانمرد,120,2,2,30,1,1,0,1,2,شخصي,"کولر,گاز",سيمان,220000000,22000000000
81,مینی سیتی میدان شاهد خ نخل,130,1,2,26,1,1,0,1,2,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,111538000,14500000000
82,شادآباد خ 15متری دوم جنوبی ك قورچیان پ 25,76,2,2,13,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,46000000,3496000000
83,پیروزی خ زینتی افخم بالاتراز بلوار نیكنام شرقی,44,1,1,20,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,63636000,2800000000
84,فلاح خ بهبودی شمالی كوچه آهنگری پ 18,93,1,2,8,0,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,64200000,6100000000
85,پیروزی خ پاسدارگمنام خ صالحی,123,2,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,69105000,8500000000
86,خ دماوند خ یونسیان,82,3,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,80000000,6560000000
87,هروی حسین آباد,181,6,3,0,1,1,1,1,11,شخصي,"کولر,آسانسور,گاز",ترکیبی,130000000,23530000000
88,نیرو هوایی خ 30 متری,97,4,2,22,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,65979000,6400000000
89,مینی سیتیشهرك محلاتی,150,3,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,130000000,19500000000
92,نارمك نرسیده به خ مهرنژاد,71,2,2,14,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,حیاط,پکیج",سنگ,76760000,5450000000
93,بلوارفردوس شقایق جنوبی,144,4,3,16,0,1,0,0,4,شخصي,"شوفاژ,کولر",سنگ,61805000,8900000000
94,ولیعصرنرسیده به پارك وی خ خاكزاد,175,0,3,14,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,114285000,20000000000
96,پونك سردار جنگل خ ایران زمین,134,1,3,11,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,115000000,15410000000
97,تجریش خ فناخسرو,70,0,1,28,0,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",رومي,85714000,6000000000
99,تهرانپارس خ استخر,60,-1,1,18,0,0,0,0,4,قولنامه اي,"شوفاژ,کولر,گاز",سنگ,36660000,2200000000
100,زعفرانیه خ خدامراد,180,1,2,20,1,1,0,1,2,شخصي,"شوفاژ,کولر,گاز",سنگ,627000000,125400000000
101,سبلان جنوبی خ محمدی,142,4,2,5,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,68000000,9656000000
102,ستاری شمالی خ مهستان,64,0,1,23,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر,102343000,6550000000
103,شهرك غرب خ طاهرخانی,60,4,1,18,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ و رومي,150000000,9000000000
104,شهرك غرب بلوار فرحزادی,85,5,2,20,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,188235000,16000000000
105,شهرك غرب خ طاهرخانی,75,2,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,حیاط,پکیج,گاز",آجر سه سانت,120000000,9000000000
106,سعادت آباد خ بخشایش,93,0,2,20,0,1,0,1,5,شخصي,"کولر,پکیج,گاز",سنگ,90000000,8370000000
107,جردن نرسیده به بلوار گیتی,210,4,3,14,1,1,1,1,5,شخصي,"آسانسور,استخر,حیاط,زیر زمین,چیلر,پکیج,سونا,جکوزی",گرانيت,155000000,32550000000
108,تهرانسر بلوار یاس مسكن ویژه خ كوشش روبروی پارك احراز زنجان,105,5,2,7,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,71420000,7500000000
109,دارآباد خ صحرا,95,5,2,6,1,1,1,1,8,شخصي,"شوفاژ,کولر,آسانسور,چیلر,گاز",ترکیبی,156631000,14880000000
110,هنگام شمیران نو,70,4,2,8,0,1,0,1,4,قولنامه اي,"شوفاژ,کولر,پکیج,گاز",سنگ,47140000,3300000000
111,كریم خان ایرانشهر,88,4,2,30,0,1,0,1,4,شخصي,"کولر,گاز",سيمان,56810000,5000000000
112,پیروزی خ 21 متری دهقان,56,3,1,21,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,58928000,3300000000
113,نیرو هوایی خ ششم,74,4,2,16,0,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,54054000,4000000000
114,سبلان شمالی خ فتاحی,57,1,2,9,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,78947000,4500000000
115,خواجه عبداله خ تیسفون خ ایوان مدائن,111,3,2,0,1,1,1,1,5,شخصي,"آسانسور,پکیج",تراورتن,170000000,18870000000
116,خواجه عبداله خ تیسفون خ ایوان مدائن,71,4,1,0,1,1,1,1,5,شخصي,"آسانسور,پکیج",تراورتن,170000000,12070000000
117,خواجه نظام خ اجاره دار,103,4,3,30,1,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,49000000,5047000000
118,طرشت شمالی نرسیده به ك شیخ عباسی,120,1,3,0,1,0,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,100000000,12000000000
119,طرشت شمالی نرسیده به ك شیخ عباسی,73,1,2,0,1,0,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,100000000,7300000000
120,دربند گلابدره خ اسداللهی خ حسینی,220,1,3,20,1,1,1,1,9,قولنامه اي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,22000000000
121,هنگام شمیران نو میدان پاكدامن,150,0,3,4,0,1,0,0,6,قولنامه اي,"کولر,پکیج,گاز",سنگ,38000000,5700000000
122,هفت تیر خ بهارشمالی,83,3,2,30,0,1,0,1,3,شخصي,"کولر,گاز",آجر,55421000,4600000000
123,زعفرانیه خ مقدس اردبیلی,150,7,3,18,1,1,1,1,10,شخصي,"آسانسور,استخر,پکیج,سونا,جکوزی,گاز",سنگ,200000000,30000000000
125,دربند گلابدره خ سعیدی,50,0,1,2,0,1,0,0,4,قولنامه اي,"شوفاژ,کولر,گاز",سنگ,40000000,2000000000
126,گلبرگ كوی عادل زاده,62,4,2,11,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,70160000,4350000000
127,جمالزاده شمالی نرسیده به خ طوسی,120,3,2,30,0,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,54166000,6500000000
128,لویزان شیان میدان شاهرضائی,95,2,2,0,1,1,1,1,5,اوقاف,"کولر,آسانسور,پکیج,گاز",سنگ,105000000,9975000000
129,آجودانیه خ جورمند,136,2,3,6,1,1,1,1,5,دردست اقدام,"شوفاژ,کولر,آسانسور,گاز",سنگ,120000000,16320000000
130,طرشت میدان سماء,69,4,1,18,1,0,0,1,4,شخصي,"شوفاژ,کولر",سنگ,86956000,6000000000
131,نارمك نرسیده به خ مهر,80,1,2,1,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,120000000,9600000000
132,جنت آباد خ شقایق,75,4,2,17,1,1,0,1,4,شخصي,"شوفاژ,کولر",سنگ,85333000,6400000000
133,تهران پارس 202 شرقی,125,4,3,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,110000000,13750000000
134,شریعتی روبروی خ ملك,57,4,1,14,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,73684000,4200000000
135,میدان امام حسین خ ایرانمهر,45,4,1,26,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,55550000,2500000000
136,اشرفی اصفهانی باغ فیض,146,1,3,4,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,104109000,15200000000
137,بزرگراه محلاتی خ مخبرشمالی,127,1,3,6,1,1,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,90000000,11430000000
138,تهرانپارس خ 105,70,4,1,20,0,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,75000000,5250000000
139,نیاوران جمشیدیه خ 32,162,2,3,3,1,1,1,1,5,شخصي,"کولر,آسانسور,استخر,سونا,جکوزی",سنگ,180000000,29160000000
140,شهرزیبا خ مرادی,120,3,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,115000000,13800000000
141,اشرفی اصفهانی بالاتر از پل نیایش,132,10,2,14,1,1,1,1,13,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,131439000,17350000000
142,جشنواره چهارراه سیدالشهدا خ معینی نژاد,63,4,2,12,1,1,0,0,4,شخصي,"کولر,پکیج,گاز",ترکیبی,79360000,5000000000
143,پاسداران پایین تر از برج سفید,63,3,1,7,1,1,1,0,5,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,200000000,12600000000
144,ستاری بلوارصبا خ سرحدی,95,1,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,125263000,11900000000
145,نهران نو میدان امامت خ نیشابور,103,3,2,26,1,1,0,1,4,شخصي,"کولر,حیاط,گاز",آجر سه سانت,64000000,6600000000
146,میدان شهدا خ كفایی امانی,60,4,2,16,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,53333000,3200000000
147,جنت آّباد جنوبی چهارباغ غربی خ نمازی,117,1,3,1,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",ترکیبی,108547000,12700000000
148,مینی سی تی شهرك قائم خیابان خداوردی نبش یاسمن,130,2,2,27,1,1,0,0,2,منگوله دار,"کولر,حیاط,حیاط خلوت,گاز",آجر سه سانت,150000000,18500000000
149,تقاطع بلوار کوهسار خ آبشناسان نظری خیابان عاصمی,55,2,1,6,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,حیاط خلوت,پکیج,گاز",سنگ,91000000,5000000000
150,تهرانپارس خ توحید جنب پارك پلیس,100,9,3,8,0,1,1,1,16,تعاوني,"کولر,فن کوئر,آسانسور,گاز",سيمان,125000000,12500000000
151,ستاری شمال خ مهستان,64,0,1,30,1,1,0,1,4,شخصي,"کولر,گاز",آجر,103125000,6600000000
152,جشنواره خ زهدی,65,2,1,0,0,1,1,0,4,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,80000000,5200000000
153,جشنواره میدان رهبر,130,2,2,8,0,0,1,1,4,قولنامه اي,"کولر,آسانسور,پکیج,گاز",سنگ,38460000,5000000000
154,نارمك نرسیده به میدان 16,153,3,3,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,125000000,19125000000
155,تهرانپارس فلكه چهارم خ توحید,114,3,2,14,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,65000000,7410000000
156,امیر آباد كارگر شمالی,120,2,2,0,1,1,1,1,5,شخصي,"آسانسور,گاز",ترکیبی,133333000,16000000000
161,تهرانپارس خ وفادار غربی,85,1,2,30,1,1,0,1,4,قولنامه اي,"شوفاژ,کولر,پکیج,گاز",آجر,70580000,6000000000
162,اتوبان بابایی شهرك شهپریان,92,5,3,5,1,1,1,1,10,تعاوني,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,76080000,7000000000
164,مطهری خ تركمنستان,113,1,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,چیلر,پکیج,گاز",ترکیبی,150000000,16950000000
165,بلوار فردوس شرق خ ابراهیم جنوبی,75,1,2,10,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,112666000,8450000000
168,دبستان نرسیده به ك آگاهی,70,4,2,23,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,71428000,5000000000
169,مجیدیه جنوبی خ اثنی عشری ك رویان,72,2,2,15,0,1,0,1,4,شخصي,,سنگ,76388000,5500000000
170,گلبرگ غربی خ گلشن دوست,85,4,2,12,1,1,0,0,4,شخصي,"کولر,گاز",سنگ,65000000,5525000000
171,تهرانپارس خ 132,130,2,3,0,1,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,150000000,19500000000
172,تجریش میدان قدس بالاتر از دزاشیب,92,2,2,25,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,110000000,10120000000
173,نارمك خ دردشت خ فراهانی خ اردكانیها,60,2,1,7,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,90000000,5400000000
174,قیطریه خ روشنائی,121,3,2,15,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,105000000,12705000000
175,نارمك خ دردشت خ 72,66,4,2,11,0,1,0,0,4,شخصي,"شوفاژ,کولر",گرانيت,75757000,5000000000
176,شهرك غرب بلوار دادمان ك ارغوان غربی,127,2,3,12,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,108267000,13750000000
177,حافظ خ به آفرین,68,2,1,10,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,110294000,7500000000
178,امیرآباد كارگر شمالی,127,5,2,5,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,140944000,17900000000
179,سئول نیایش,115,0,2,25,1,1,0,1,5,تعاوني,"شوفاژ,کولر,گاز",سنگ,100000000,11500000000
180,تهرانپارس خ 220,100,2,2,0,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,90000000,9000000000
181,سعادت آباد شهرك پاسارگاد,110,2,3,14,1,1,1,1,5,تعاوني,"کولر,آسانسور,پکیج,گاز",سنگ,150000000,16500000000
182,سعادت آباد 18 متری مطهری,140,2,3,12,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,حیاط,گاز",سنگ,135000000,18900000000
183,سهروردی شمالی خ زینالی غربی,121,2,2,30,0,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,70000000,8470000000
184,گیشا بالاتر ازخ 40,133,3,3,20,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,140000000,18620000000
185,فرجام میدان 13,60,4,1,6,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,90000000,5400000000
186,نارمك خ سمنگان میدان 70,89,4,2,22,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,75000000,6675000000
187,آپادانا خ هویزه,190,2,3,30,1,1,0,1,3,شخصي,"شوفاژ,کولر",سنگ,300000000,39000000000
188,گلبرگ غربی خ گلشن دوست,110,2,2,27,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,70000000,7700000000
189,نارمك خ 46 متری غربی,107,3,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,66355000,7100000000
190,خواجه نظام خ اجاره دار,62,2,1,29,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,55000000,3410000000
191,سبلان شمالی خ حیدری,52,3,1,5,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,71153000,3700000000
192,اشرفی اصفهانی شهرك نفت,91,0,2,15,1,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,98901000,9000000000
193,پیروزی خ پرواز,54,3,1,6,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,74000000,3996000000
194,نیرو هوایی خ 30 متری,58,-1,1,20,0,0,0,0,4,شخصي,"کولر,پکیج",سنگ,60344000,3500000000
195,هفد شهریورشمالی خ صفاغربی,50,5,1,20,0,1,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,50000000,2500000000
196,دلاوران آزادگان,86,4,1,20,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,55810000,4800000000
197,پیروزی میدان بروجردی,80,-1,2,26,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,31250000,2500000000
