Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
508,ملاصدرا خ شیراز جنوبی,101,1,2,20,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",آجر سه سانت,148520000,15000000000
509,تهرانپارس بلوار پروین خ 218,76,4,2,11,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,76310000,5800000000
510,شهرزیبا خ اندیشه شمالی,78,4,2,15,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,78205000,6100000000
511,تهرانپارس ایستگاه داریوش,71,2,2,3,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,7100000000
512,تهرانپارس خ 190,77,6,2,6,1,0,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,100000000,7700000000
513,بلوار فردوس شرق خ ابراهیمی جنوبی,56,5,1,18,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",ترکیبی,121428000,6800000000
514,تهرانپارس فلكه سوم 206,84,5,2,10,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,109520000,9200000000
515,جشنواره فرهنگسرا,151,3,4,30,1,1,0,1,3,شخصي,"کولر,گاز",سنگ,80790000,12200000000
516,شهر زیبا خ آلاله غربی,69,2,2,1,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,112310000,7750000000
517,میرداماد خ نفت شمالی خ صفویان,215,1,3,17,1,1,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,130000000,27950000000
518,الهیه ك واثق نوری,275,5,3,13,1,1,1,1,11,شخصي,"شوفاژ,کولر,آسانسور,چیلر,گاز",رومي,280000000,77000000000
519,میرداماد خ نفت شمالی,147,5,3,7,1,1,1,1,5,شخصي,"آسانسور,پکیج",سنگ,163265000,24000000000
520,آیت الله كاشانی خ دانشور,222,2,3,12,1,1,1,1,5,شخصي,"کولر,فن کوئر,آسانسور,گاز",سنگ,114864000,25500000000
521,آیت اله كاشانی خ بهنام,94,3,2,7,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,125531000,11800000000
522,شهران خ قائم,65,2,1,3,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,140307000,9120000000
523,آیت اله كاشانی بلوار اباذر,98,4,2,22,1,1,1,1,10,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,112240000,11000000000
524,تهرانپارس بین باقر ی و اردیبهشت,80,2,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,107500000,8600000000
525,ستارخان خ سازمان آب,114,3,3,4,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,135000000,15390000000
526,بلوار ابوذر جنوبی پل ششم خ بهشتی ك 25 پ 9,55,2,1,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,72727000,4000000000
527,حكیمیه فاز یكم خ سحر,113,3,2,7,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,88490000,10000000000
528,شهران بالاتر از چهارراه نیما یوشیج,111,5,2,20,1,1,1,1,11,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,90000000,9990000000
529,جنت آباد شمالی خ مبعث,73,1,2,6,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",رومي,106840000,7800000000
530,وحیدیه خ نبیئیان,70,1,1,0,1,1,1,0,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,71428000,5000000000
531,اشرفی اصفهانی شهرك نفت,85,0,2,17,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,105880000,9000000000
532,دبستان نرسیده به ك آگاهی,90,2,2,16,1,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,81111000,7300000000
533,تهرانپارس بلوار پروین خ 222,46,5,1,16,0,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,75430000,3470000000
534,پونك چهاردیواری,68,2,2,14,1,0,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",رومي,104411000,7100000000
535,صادقیه بلوار گلاب,86,3,2,22,1,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,79650000,6850000000
536,تهرانپارس بلوار پروین خ 208,51,4,1,23,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,67640000,3450000000
537,اشرفی اصفهانی سیمون بولیوار خ الوند,105,7,2,0,1,1,1,1,12,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,85952000,9025000000
538,ستارخان خ برادران توكلی,65,4,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,76923000,5000000000
539,جنت آباد جنوبی خ بنفشه,55,4,1,16,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,103636000,5700000000
540,اشرفی اصفهانی باغ فیض خ امیر ابراهیم,95,1,2,16,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,103157000,9800000000
541,جشنواره خ درختی,61,4,1,19,0,1,0,1,4,شخصي,"کولر,گاز",آجر,69000000,4209000000
542,دیباجی جنوبی خ رحمانی,101,4,2,17,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,110000000,11110000000
543,شهرك راه آهن خ كوهك,167,14,3,0,1,1,1,1,21,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,16700000000
544,تهران پارس بلوار پروین خ 218,84,5,2,13,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,84520000,7100000000
545,جنت آباد مركزی بلوار بعثت خ عسگری,127,3,3,30,1,1,0,0,3,شخصي,"شوفاژ,کولر",سنگ,200000000,23000000000
546,نارمك خ آیت,123,4,2,0,1,1,1,1,4,شخصي,"کولر,فن کوئر,آسانسور,پکیج,گاز",سنگ,144715000,17800000000
547,تهرانپارس فلكه چهارم نرسیده به زین الدین,53,1,1,13,0,1,0,0,4,شخصي,"شوفاژ,کولر,پاسیو,گاز",سنگ,80280000,4255000000
548,شهرك راه آهن بلوار كوهك,159,3,3,10,1,1,1,1,3,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,101886000,16200000000
549,تهران پارس بین طاهری و دانشور,85,6,2,3,1,1,1,0,10,شخصي,"آسانسور,گاز",سنگ,120000000,10200000000
550,پونك خ فجر,160,2,3,12,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,150000000,24000000000
551,سهروردی شمالی خ سورنا,76,2,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,157894000,12000000000
552,جشنواره خ درختی,104,3,2,6,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,70000000,7280000000
553,ولنجك نرسیده به خ سیزدهم,140,3,2,7,1,1,1,1,13,شخصي,"آسانسور,استخر,چیلر,گاز",سنگ,400000000,56000000000
554,تهرانپارس نرسیده به سه راه شهیددوران,59,2,1,30,0,0,0,1,4,شخصي,"کولر,گاز",سيمان,50840000,3000000000
555,بلوارفردوس خ ابراهیمی جنوبی,140,1,2,0,1,1,1,1,15,دردست اقدام,"کولر,فن کوئر,آسانسور,گاز",سنگ,110000000,15400000000
556,زعفرانیه آصف,130,2,2,30,1,1,0,1,2,شخصي,"شوفاژ,کولر,گاز",ترکیبی,250000000,32500000000
